,precision,recall,f1-score,support
Ad Hominem,0.7272727272727273,0.5333333333333333,0.6153846153846153,45.0
Appeal to Fear,0.6190476190476191,0.4482758620689655,0.52,29.0
Appeal to Ridicule,0.4090909090909091,0.391304347826087,0.4,46.0
False Dilemma,0.5714285714285714,0.2857142857142857,0.38095238095238093,28.0
Hasty Generalization,0.5,0.07692307692307693,0.13333333333333336,26.0
Loaded Language,0.5934065934065934,0.5869565217391305,0.5901639344262295,92.0
None of the above,0.8560411311053985,0.9098360655737705,0.8821192052980132,366.0
micro avg,0.7583892617449665,0.7151898734177216,0.7361563517915308,632.0
macro avg,0.6108982216216885,0.46176335616837844,0.5031362099135104,632.0
weighted avg,0.7379783165756614,0.7151898734177216,0.7159119495758339,632.0
samples avg,0.7612612612612613,0.7548048048048047,0.7503303303303303,632.0
